,PC1,PC2,ss
0,-0.21228364,-0.48930007,10
1,1.2141254,0.2796348,10
2,0.34559998,0.66860056,10
3,-0.6037092,0.13398665,10
4,0.08997795,0.782695,10
5,-0.011173993,-1.163295,10
6,-0.14269227,0.9002541,10
7,0.20615241,0.4284504,10
8,0.93114626,0.33105534,10
9,0.3204686,0.2515741,10
10,0.7487047,0.20461044,10
11,0.62534904,-0.0069651008,10
12,-0.4432601,-0.19857687,10
13,-0.50489736,-0.5348062,10
14,-0.19412014,0.53878033,10
15,-0.6544032,0.26261353,10
16,-0.005928278,0.7124921,10
17,1.1633877,-0.7675652,10
18,0.5917567,0.09938288,10
19,-0.5286255,-0.3630426,10
20,-0.19928375,-0.20085055,10
21,-1.1393478,0.103926,10
22,0.13130133,-0.17813033,10
23,0.26533023,0.41059536,10
24,-0.055140764,-0.008933902,10
25,0.5745089,0.70946735,10
26,0.3838302,0.80110073,10
27,0.26251012,-0.094864786,10
28,0.7955234,-0.20780355,10
29,-1.1436634,-0.29071945,10
30,-1.0119867,-0.2923745,10
31,-0.063245386,0.31707472,10
32,0.7173121,-0.7453869,10
33,-0.37037376,0.65350175,10
34,1.7266992,0.33708102,10
35,0.14597075,-0.05449766,10
36,0.9502684,-1.0199413,10
37,-0.2294471,-0.15313393,10
38,0.40909818,0.45398378,10
39,0.1275779,0.2470262,10
40,-0.26506653,0.254288,10
41,1.1569054,-0.4780199,10
42,-0.90684915,-0.24659908,10
43,0.18445602,0.036102355,10
44,-0.04061058,0.104601234,10
45,0.37579286,0.15976545,10
46,0.5564128,-0.23417974,10
47,-0.06625563,0.6240845,10
48,0.05652091,-0.5099301,10
49,-0.34275928,-0.019667745,10
50,0.12956387,-0.40937114,10
51,-0.12573284,0.2119292,10
52,0.7620167,0.561575,10
53,0.0032694638,-0.714138,10
54,0.040623456,-0.67227477,10
55,0.71869814,-0.56435055,10
56,-0.031597883,-0.19150954,10
57,-0.19936731,0.20169237,10
58,0.6588211,0.55848515,10
59,0.7658242,0.031646907,10
60,0.4844017,0.38184682,10
61,-0.4590961,-0.16355407,10
62,0.078089744,0.26687703,10
63,-0.47265932,0.6670112,10
64,0.32753074,-0.20171404,10
65,-0.63678944,0.42241684,10
66,0.94987535,-0.24186581,10
67,-0.9337201,-0.4093861,10
68,-0.3992537,-0.35967314,10
69,-0.10367504,-0.29113156,10
70,-0.79662037,0.8016729,10
71,-0.7701342,0.11981577,10
72,1.0655314,-0.13355082,10
73,0.46506304,-0.97068244,10
74,0.3968628,-0.5070321,10
75,-0.2574418,0.1994785,10
76,0.06598416,-1.2480483,10
77,0.8154651,0.07340285,10
78,-0.8806242,0.20774972,10
79,-0.9397856,-0.108023465,10
80,0.6564791,-0.273942,10
81,1.18797,0.10149181,10
82,-0.84710526,0.40351465,10
83,0.23814936,0.078989625,10
84,-0.06590554,-0.33840364,10
85,0.59072775,-0.5976693,10
86,0.23591247,-0.66946524,10
87,0.80896837,0.36251158,10
88,0.8665571,0.83675647,10
89,0.2823667,0.14273876,10
90,0.29936928,0.47614124,10
91,-0.35327134,-0.70597357,10
92,-0.4706501,0.2679928,10
93,-0.1259127,-0.09550458,10
94,-0.5680356,0.7695059,10
95,-0.2914296,-0.28666764,10
96,-0.08928397,-0.04784876,10
97,1.1551462,-0.30661625,10
98,0.32383075,-0.17101312,10
99,-0.3415033,0.58584374,10
100,0.29594463,-0.13821429,10
101,-0.9730364,0.49228662,10
102,-0.46629527,1.0845022,10
103,0.2242215,0.33537474,10
104,-0.45910063,-0.39697927,10
105,-0.46166328,0.19119993,10
106,0.24249578,0.22537166,10
107,0.3686223,0.55764645,10
108,-0.41903576,-0.263815,10
109,-0.033200026,0.53451455,10
110,-0.34906033,-0.018853188,10
111,-0.12009987,0.33609623,10
112,0.12522575,-0.68719023,10
113,0.04062423,-0.116476715,10
114,-0.19570091,0.80737114,10
115,-0.25235203,-0.53045195,10
116,-0.46468642,0.2617061,10
117,0.1995286,-1.427705,10
118,-0.018147916,0.18355495,10
119,1.09333,0.17503059,10
120,1.0236181,0.27154157,10
121,-0.8934188,-0.34431958,10
122,-0.010853797,-0.9624801,10
123,-1.1757305,0.012580097,10
124,0.11079666,-0.5040514,10
125,0.9092761,0.34969333,10
126,-0.09292811,0.12523612,10
127,0.6648052,0.35726333,10
128,0.104198575,0.12350401,10
129,-1.1994328,-0.17105687,10
130,-0.3819025,-0.05217886,10
131,0.6459805,0.15450591,10
132,0.54760313,-0.29908067,10
133,-0.1789994,0.29161605,10
134,0.09240675,-0.49908537,10
135,0.6502323,-0.71503466,10
136,-0.08433214,-0.6256313,10
137,-0.4390383,-0.25429612,10
138,0.32299334,-0.48840088,10
139,-0.79857635,0.3805176,10
140,1.135093,0.099823356,10
141,0.42235345,0.6740466,10
142,-0.39566842,-0.61976117,10
143,0.18183678,0.30956215,10
144,0.5611481,-0.5742902,10
145,-0.035268754,0.6155043,10
146,-0.7710116,-0.036956906,10
147,-0.96828604,0.026446044,10
148,1.0510141,0.31787634,10
149,-0.24424264,-0.08881563,10
