,Set size,N sets,Architecture,Loss,Param. MSE,log_MSE
0,1,100,DistAE-GNN,SWD,462.31482436757966,6.136246097033335
1,1,100,DistAE-Attn,SWD,1464.8814339032972,7.28952958568674
2,1,100,DistAE-Hybrid,SWD,1445.5829170983118,7.276267922037686
3,1,316,DistAE-GNN,SWD,456.74223858607746,6.124119202417685
4,1,316,DistAE-Attn,SWD,196.20281590202137,5.279148899230215
5,1,316,DistAE-Hybrid,SWD,256.41290644185545,5.546789060916366
6,1,1000,DistAE-GNN,SWD,454.6920709018989,6.119620422592047
7,1,1000,DistAE-Attn,SWD,48.35504028233672,3.8785704622227977
8,1,1000,DistAE-Hybrid,SWD,48.99363588625518,3.891690409803162
9,31,100,DistAE-GNN,SWD,415.3030426591119,6.029008477022371
10,31,100,DistAE-Attn,SWD,1460.3735464348656,7.286447535699911
11,31,100,DistAE-Hybrid,SWD,1470.4804376242841,7.293344454691882
12,31,316,DistAE-GNN,SWD,417.93436125385307,6.035324389701003
13,31,316,DistAE-Attn,SWD,133.17337407105623,4.8916518437633085
14,31,316,DistAE-Hybrid,SWD,185.28307392926268,5.221884784970574
15,31,1000,DistAE-GNN,SWD,5.94200252573751,1.782046202105541
16,31,1000,DistAE-Attn,SWD,2.331795883285128,0.8466387360489581
17,31,1000,DistAE-Hybrid,SWD,2.431545925385812,0.8885272383599988
18,1000,100,DistAE-GNN,SWD,441.9188830489388,6.091126342721668
19,1000,100,DistAE-Attn,SWD,1437.2719076403655,7.270502087135789
20,1000,100,DistAE-Hybrid,SWD,1472.6306233431026,7.2948056201435625
21,1000,316,DistAE-GNN,SWD,403.26710471111977,5.999599133244286
22,1000,316,DistAE-Attn,SWD,130.80125272542222,4.87367901638872
23,1000,316,DistAE-Hybrid,SWD,134.43105823690655,4.9010514894645345
24,1000,1000,DistAE-GNN,SWD,5.524356537859685,1.7091667768855854
25,1000,1000,DistAE-Attn,SWD,1.6471752327253573,0.49906184063330955
26,1000,1000,DistAE-Hybrid,SWD,1.5165437418225511,0.416433891662305
